,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
284,Berlevåg,NO,70.86,29.09,18.0,82,1,4.6,1595796145
285,Puerto Baquerizo Moreno,EC,-0.9,-89.6,24.0,60,20,7.2,1595796145
286,Balaka,MW,-14.98,34.96,14.69,69,50,1.94,1595796145
287,Shimoda,JP,34.67,138.95,21.67,94,98,0.89,1595796145
288,Trairi,BR,-3.28,-39.27,25.96,70,98,4.77,1595795775
289,Puerto Madryn,AR,-42.77,-65.04,6.69,76,100,2.93,1595796136
290,Avarua,CK,-21.21,-159.78,22.0,88,94,2.1,1595796146
291,Meulaboh,ID,4.14,96.13,24.21,89,100,2.16,1595795796
292,Padang,ID,-0.95,100.35,24.0,94,40,2.1,1595795768
293,Vallenar,CL,-28.57,-70.76,26.03,16,0,1.86,1595796146
294,Jalu,LY,29.03,21.55,27.91,45,0,6.87,1595796146
295,Riyadh,SA,24.69,46.72,35.0,28,16,1.0,1595795749
296,Hasaki,JP,35.73,140.83,24.0,94,75,2.1,1595795764
297,Chaihe,CN,44.77,129.7,16.88,91,0,0.69,1595796146
298,San Cristobal,VE,7.77,-72.22,33.0,43,20,4.1,1595795781
299,Lata,PT,40.16,-8.33,22.78,69,0,1.79,1595796146
300,Bibai,JP,43.32,141.86,17.78,100,75,3.6,1595796147
301,Sotnikovskoye,RU,45.0,43.78,23.56,45,24,5.03,1595796147
302,Arrondissement de Morlaix,FR,48.58,-4.0,17.22,77,75,3.1,1595796147
303,Sur,OM,22.57,59.53,31.03,61,92,5.17,1595796147
304,Emerald,AU,-23.53,148.17,9.44,63,40,0.45,1595796147
305,Benavente,ES,42.0,-5.68,24.0,41,0,0.5,1595796147
306,Namie,JP,37.48,141.0,22.78,98,100,1.56,1595796148
307,Deqing,CN,30.54,119.96,25.56,84,99,0.52,1595796148
308,Severo-Kuril'sk,RU,50.68,156.12,10.82,90,99,7.72,1595796148
309,Lavrentiya,RU,65.58,-171.0,16.13,61,92,7.35,1595796148
310,Ormara,PK,25.21,64.64,28.68,83,100,4.92,1595796148
311,Graneros,CL,-34.07,-70.73,10.0,57,90,2.1,1595796148
312,Lodja,CD,-3.48,23.43,23.84,43,0,0.5,1595796148
313,Bay-Khaak,RU,51.17,94.5,14.49,75,70,1.25,1595796148
314,Hambantota,LK,6.12,81.12,26.39,81,100,4.9,1595795781
315,Sakaraha,MG,-22.9,44.53,13.54,59,0,0.34,1595796149
316,Inuvik,CA,68.35,-133.72,20.0,60,75,3.6,1595796149
317,Marakkanam,IN,12.2,79.95,27.69,76,94,2.33,1595796149
318,São João da Barra,BR,-21.64,-41.05,25.0,69,75,7.2,1595795582
319,Talaya,RU,61.38,152.75,17.86,47,71,2.73,1595796149
320,Pringsewu,ID,-5.36,104.97,21.16,94,100,0.38,1595796149
321,Maun,BW,-19.98,23.42,15.0,41,0,2.6,1595796149
322,Westport,US,41.14,-73.36,34.44,46,1,5.7,1595795865
323,Prizren,XK,42.21,20.74,19.0,68,94,1.5,1595796149
324,Srednekolymsk,RU,67.45,153.68,22.45,58,78,9.18,1595796150
325,Philadelphia,US,39.95,-75.16,35.0,38,75,5.7,1595795932
326,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,15.0,93,65,2.0,1595796150
327,Kathu,TH,7.92,98.33,28.89,94,40,1.0,1595796150
328,Samaná,DO,19.21,-69.34,31.0,74,75,3.1,1595796150
329,Fort Nelson,CA,58.81,-122.7,23.0,49,75,1.0,1595796063
330,Popondetta,PG,-8.75,148.25,22.5,91,63,1.09,1595796150
331,Gorin,RU,51.2,136.67,15.89,89,100,1.19,1595796150
332,Cravo Norte,CO,6.3,-70.2,27.21,76,67,2.52,1595796150
333,Mogwase,ZA,-25.18,27.27,11.14,42,0,3.64,1595796151
334,Longford,IE,53.73,-7.8,12.78,78,100,5.36,1595796151
335,Varna,BG,43.22,27.92,22.0,88,69,2.1,1595796151
336,Lohja,FI,60.25,24.07,16.11,59,90,3.58,1595796151
337,Udachny,RU,66.42,112.4,4.71,82,100,7.14,1595796151
338,Farap,TM,39.17,63.61,28.0,32,0,4.1,1595796152
339,Ixtapa,MX,20.7,-105.2,31.67,62,40,3.6,1595796152
340,Huai'an,CN,33.59,119.02,19.91,94,100,2.12,1595796152
341,Morón,AR,-34.65,-58.62,16.67,39,13,2.68,1595796152
342,Thompson,CA,55.74,-97.86,14.0,93,90,4.1,1595796152
343,Aiken,US,33.58,-81.6,33.89,62,40,3.6,1595796152
344,Kawalu,ID,-7.38,108.21,20.81,90,98,0.42,1595796152
345,Launceston,AU,-41.45,147.17,7.78,100,90,2.1,1595796152
346,Pangnirtung,CA,66.15,-65.71,9.0,87,75,6.7,1595796153
347,Werda,BW,-25.27,23.28,10.56,45,0,1.85,1595796153
348,Abdulino,RU,53.7,53.67,12.4,89,10,2.23,1595796153
349,Jacareacanga,BR,-6.22,-57.75,32.37,39,2,1.15,1595795789
350,Progreso,MX,21.28,-89.67,34.0,59,75,7.2,1595796153
351,Bocas del Toro,PA,9.33,-82.25,21.11,88,12,0.89,1595795859
352,Mampong,GH,7.06,-1.4,20.89,97,38,1.69,1595796153
353,Le Vauclin,MQ,14.55,-60.84,30.0,66,20,6.7,1595796154
354,Bubaque,GW,11.28,-15.83,26.3,83,100,4.35,1595796154
355,Saldanha,ZA,-33.01,17.94,11.0,76,0,3.6,1595795770
356,Mbuji-Mayi,CD,-6.15,23.6,22.82,28,0,1.19,1595796154
357,Zhanakorgan,KZ,43.91,67.25,25.42,31,0,2.98,1595796154
358,Ilhabela,BR,-23.78,-45.36,20.68,87,94,2.35,1595796154
359,Mogadishu,SO,2.04,45.34,24.97,84,11,8.27,1595796154
360,Oranjemund,NA,-28.55,16.43,14.22,79,0,7.9,1595795785
361,Hofn,IS,64.25,-15.21,9.47,70,100,6.37,1595796155
362,Chepareria,KE,1.31,35.2,14.88,85,7,1.12,1595796155
363,Nyūzen,JP,36.93,137.5,25.0,74,74,0.45,1595796155
364,Fairbanks,US,64.84,-147.72,18.33,82,90,2.63,1595795613
365,Tooele,US,40.53,-112.3,33.33,35,1,4.1,1595796155
366,Bukama,CD,-9.2,25.85,18.92,38,40,1.36,1595796155
367,Kahului,US,20.89,-156.47,27.0,78,90,8.2,1595795642
368,Batagay-Alyta,RU,67.8,130.41,14.95,52,97,2.12,1595795784
369,Palekastro,GR,35.2,26.25,27.22,48,0,3.58,1595796155
370,Biak,ID,-0.91,122.88,24.51,81,100,3.16,1595796155
371,Garhwa,IN,24.18,83.82,28.5,68,82,1.47,1595796156
372,Saint Anthony,US,45.02,-93.22,30.56,62,40,3.6,1595796156
373,Nhamundá,BR,-2.19,-56.71,31.36,51,36,1.47,1595796156
374,Ahipara,NZ,-35.17,173.17,10.24,73,0,2.29,1595796156
375,Coffs Harbour,AU,-30.3,153.13,13.0,71,66,5.7,1595796156
376,Talnakh,RU,69.49,88.4,7.0,93,84,8.0,1595796156
377,Zyryanovsk,KZ,49.74,84.27,11.88,87,42,0.46,1595796064
378,Da’an,CN,33.06,106.3,19.15,85,1,0.84,1595796156
379,City of San Pedro,PH,14.35,121.02,27.22,88,73,0.75,1595796157
380,Indramayu,ID,-6.33,108.32,23.47,79,55,3.34,1595796157
381,Aksay,RU,47.26,39.87,27.22,26,93,8.0,1595796157
382,Jieshi,CN,22.81,115.83,28.63,82,10,4.14,1595796157
383,Irtyshskiy,RU,58.33,68.13,11.58,86,6,2.28,1595796157
384,Koumac,NC,-20.57,164.28,21.49,79,0,1.18,1595796157
385,Santa Barbara,US,34.42,-119.7,32.22,72,40,4.6,1595795873
386,Mukhen,RU,48.1,136.1,19.61,91,93,1.23,1595796157
387,Les Cayes,HT,18.2,-73.75,30.36,68,62,3.07,1595796158
388,Talcahuano,CL,-36.72,-73.12,13.0,76,40,4.6,1595796158
389,Campbellton,CA,48.01,-66.67,24.43,70,77,2.31,1595796158
390,Boca do Acre,BR,-8.75,-67.4,31.87,41,3,1.46,1595796158
391,Yumen,CN,40.28,97.2,21.58,23,0,2.68,1595796158
392,Richards Bay,ZA,-28.78,32.04,19.04,74,35,5.06,1595796158
393,Sibu,MY,2.3,111.82,24.0,94,40,1.5,1595795885
394,Provo,US,40.23,-111.66,32.78,23,40,3.1,1595796158
395,Verkhnyaya Inta,RU,65.98,60.31,11.31,77,2,2.73,1595796159
396,Sioux Lookout,CA,50.1,-91.92,27.0,32,20,7.2,1595796159
397,Koutsouras,GR,35.03,25.95,27.22,48,0,3.58,1595796159
398,Kathmandu,NP,27.72,85.32,23.0,94,40,1.5,1595795934
399,Mayo,US,38.89,-76.51,35.0,41,20,4.1,1595796159
400,Arlit,NE,18.74,7.39,37.12,21,67,6.04,1595795794
401,Lusambo,CD,-4.97,23.45,23.3,32,10,0.56,1595796159
402,Manavālakurichi,IN,8.13,77.3,28.0,88,40,1.0,1595796159
403,Monsenhor Gil,BR,-5.56,-42.61,33.0,33,0,3.6,1595796159
404,Ziro,IN,27.63,93.83,15.61,100,98,0.22,1595796159
405,Tingo María,PE,-9.29,-76.01,24.59,77,35,1.22,1595796159
406,Huamantla,MX,19.32,-97.92,21.0,68,40,4.6,1595796160
407,Oistins,BB,13.07,-59.53,31.0,62,40,7.7,1595796160
408,Ban Tak,TH,17.04,99.08,24.87,87,100,1.29,1595796160
409,Bilma,NE,18.69,12.92,33.36,16,0,2.09,1595796160
410,Hay River,CA,60.82,-115.8,25.0,41,20,2.6,1595796160
411,Kholm,RU,59.27,32.85,13.1,94,0,1.59,1595796160
412,Tiarei,PF,-17.53,-149.33,29.0,70,20,7.2,1595796160
413,Snyder,US,32.72,-100.92,31.0,43,40,1.5,1595796160
414,Anadyr,RU,64.75,177.48,19.0,77,31,4.0,1595795795
415,Wakkanai,JP,45.41,141.67,16.65,85,5,2.39,1595796161
416,Pecos,US,31.42,-103.49,34.0,32,40,6.2,1595796161
417,Hagenow,DE,53.43,11.18,16.67,88,57,0.45,1595796161
418,Bethanien,NA,-26.5,17.16,14.67,34,0,3.62,1595796161
419,Yeppoon,AU,-23.13,150.73,11.0,81,0,2.98,1595796161
420,Luján,AR,-34.57,-59.1,16.11,44,11,1.34,1595796161
421,Estelle,US,29.85,-90.11,25.0,94,90,1.5,1595796161
422,Camaná,PE,-16.62,-72.71,17.46,66,12,2.41,1595795774
423,Rockhampton,AU,-23.38,150.5,11.0,81,4,1.69,1595796162
424,Prince Rupert,CA,54.32,-130.32,18.0,82,90,2.6,1595795937
425,Mineiros,BR,-17.57,-52.55,24.12,39,0,2.22,1595796162
426,Yangjiang,CN,21.85,111.97,27.29,89,69,3.19,1595795767
427,Longyearbyen,SJ,78.22,15.64,17.0,67,0,5.1,1595796082
428,Wilmington,US,34.23,-77.94,32.78,55,75,5.7,1595795497
429,Nhulunbuy,AU,-12.23,136.77,24.0,60,40,5.7,1595796162
430,Saint George,US,37.1,-113.58,38.33,11,1,2.6,1595796013
431,Cologne,DE,50.93,6.95,21.11,77,20,1.5,1595796162
432,Egvekinot,RU,66.32,-179.17,14.07,81,98,3.14,1595796162
433,Kushima,JP,31.46,131.23,24.0,88,75,1.0,1595796163
434,Cairns,AU,-16.92,145.77,15.0,87,0,0.5,1595796163
435,Ola,RU,59.58,151.28,13.37,84,24,1.62,1595796163
436,Gumdag,TM,39.21,54.59,33.9,32,0,3.65,1595796163
437,Manggar,ID,-2.88,108.27,26.9,79,92,6.72,1595796163
438,Najrān,SA,17.49,44.13,26.0,69,40,2.1,1595796163
439,Nyrob,RU,60.73,56.72,15.84,63,57,0.36,1595796163
440,Kurskaya,RU,44.05,44.45,22.78,64,2,4.35,1595796163
441,Porto-Novo,BJ,6.5,2.6,25.0,88,40,5.1,1595796163
442,Khani,GE,41.96,42.96,24.0,94,90,2.1,1595796164
443,Maniitsoq,GL,65.42,-52.9,8.98,84,54,1.88,1595796164
444,Lentekhi,GE,42.79,42.73,18.89,65,1,2.19,1595796164
445,Palana,RU,59.12,159.97,11.51,75,0,3.94,1595796164
446,Chino Valley,US,34.76,-112.45,33.89,19,40,1.5,1595796126
447,Ayan,RU,56.45,138.17,13.13,78,0,1.4,1595796164
448,Samarai,PG,-10.62,150.67,25.96,86,83,3.13,1595795763
449,Bacolod City,PH,10.67,122.95,25.61,83,11,0.92,1595796164
450,Arrondissement de Bastia,FR,42.67,9.33,23.33,83,0,0.5,1595795940
451,Kumluca,TR,36.37,30.29,27.29,62,0,0.87,1595796165
452,Evensk,RU,61.95,159.23,13.11,81,14,4.76,1595796165
453,Murgab,TM,37.5,61.97,29.0,37,0,6.41,1595796165
454,Key West,US,24.56,-81.78,32.0,74,40,5.1,1595796152
455,Palu,ID,-0.89,119.87,23.38,79,72,1.3,1595796165
456,Kalmar,SE,56.66,16.36,17.22,93,100,2.6,1595795881
457,Kilindoni,TZ,-7.91,39.67,24.89,76,66,9.09,1595796165
458,Varkala,IN,8.73,76.71,28.0,88,40,1.0,1595796166
459,Klyuchi,RU,52.27,79.17,17.86,57,50,0.88,1595796166
460,Yartsevo,RU,55.07,32.7,15.59,94,100,1.3,1595796166
461,Belém de São Francisco,BR,-8.75,-38.97,26.42,37,47,8.4,1595796166
462,Caraballeda,VE,10.61,-66.85,25.56,83,95,3.93,1595796166
463,Tigbao,PH,12.55,123.34,27.34,81,42,2.15,1595796166
464,Rinconada,MX,19.35,-96.52,34.0,56,75,3.1,1595796166
465,Zacatepec,MX,18.65,-99.2,30.0,61,75,3.6,1595796166
466,Łańcut,PL,50.07,22.23,21.0,83,98,0.5,1595796167
467,Bouaflé,CI,6.99,-5.74,25.0,94,75,1.83,1595796167
468,Māngrol,IN,21.12,70.12,28.32,82,1,4.17,1595796167
469,Abu Samrah,SY,35.3,37.18,25.21,38,0,1.6,1595795798
470,Ranong,TH,9.97,98.63,26.35,78,64,0.96,1595796004
471,Road Town,VG,18.42,-64.62,32.0,70,40,6.2,1595796167
472,Matamoros,MX,25.53,-103.25,32.0,35,75,6.2,1595796167
473,Salalah,OM,17.02,54.09,26.0,94,75,1.0,1595796167
474,Shīeli,KZ,44.17,66.75,23.98,31,0,3.33,1595796167
475,Praia da Vitória,PT,38.73,-27.07,27.0,69,20,2.51,1595796167
476,Rocha,UY,-34.48,-54.33,9.11,87,100,3.13,1595796146
477,Sinnamary,GF,5.38,-52.95,27.56,79,11,3.86,1595796168
478,Winnemucca,US,40.97,-117.74,36.0,11,1,3.1,1595796168
479,Dunedin,NZ,-45.87,170.5,7.22,77,0,0.45,1595796168
480,Mount Gambier,AU,-37.83,140.77,8.93,85,19,4.34,1595796168
481,Ca Mau,VN,9.18,105.15,25.75,86,66,0.35,1595796005
482,Meadow Lake,US,34.8,-106.54,29.44,39,40,7.7,1595796168
483,Drumnadrochit,GB,57.33,-4.48,12.22,71,16,5.1,1595796168
484,Naze,JP,28.37,129.48,28.0,88,75,3.6,1595795782
485,Taltal,CL,-25.4,-70.48,16.93,57,22,0.75,1595796169
486,Kalmunai,LK,7.42,81.82,26.77,82,100,4.02,1595795794
487,Anito,PH,12.45,125.29,25.69,86,54,0.81,1595796169
488,Taicheng,CN,38.73,113.23,15.55,91,59,1.43,1595796169
489,Edson,CA,53.58,-116.44,23.0,31,1,3.1,1595796169
490,Saint-Leu,RE,-21.15,55.28,19.0,77,63,2.6,1595796169
491,Katherine,AU,-14.47,132.27,13.0,50,0,3.6,1595796169
492,Turukhansk,RU,65.82,87.98,10.1,74,94,4.05,1595796169
493,Soyo,AO,-6.13,12.37,22.6,83,0,3.58,1595796170
494,Vacaville,US,38.36,-121.99,36.11,29,1,3.1,1595795965
495,Kamenka,RU,51.32,42.77,17.22,56,0,1.79,1595796170
496,Cockburn Town,TC,21.46,-71.14,28.38,80,0,6.75,1595795774
497,Kibaya,TZ,-5.3,36.57,13.02,89,8,2.55,1595796170
498,Mossamedes,AO,-15.2,12.15,19.23,85,6,2.96,1595796170
499,Houma,US,29.6,-90.72,25.0,80,100,3.13,1595796170
500,Eyl,SO,7.98,49.82,26.72,65,9,6.5,1595796171
501,Hearst,CA,49.68,-83.67,33.86,34,8,3.28,1595796171
502,Tevaitoa,PF,-16.78,-151.5,26.41,80,32,7.67,1595796171
503,Aborlan,PH,9.44,118.55,25.99,77,98,1.46,1595796171
504,Sistranda,NO,63.73,8.83,18.89,72,75,6.2,1595795774
505,Deputatsky,RU,69.3,139.9,12.96,76,24,2.09,1595796171
506,San Patricio,MX,19.22,-104.7,32.0,75,40,5.1,1595795789
507,Baní,DO,18.28,-70.33,31.67,86,26,6.45,1595795930
508,Ust'-Charyshskaya Pristan',RU,52.39,83.66,13.23,90,0,3.1,1595796171
509,Belawan,ID,3.78,98.68,25.0,94,40,1.5,1595796171
510,Viedma,AR,-40.81,-63.0,10.56,83,79,4.99,1595796172
511,Tuatapere,NZ,-46.13,167.68,3.89,83,1,1.34,1595796172
512,Miraflores,MX,19.22,-98.81,21.0,55,90,5.1,1595796172
513,Buraidah,SA,26.33,43.98,38.0,29,0,4.1,1595796172
514,Kamakwie,SL,9.5,-12.23,21.76,97,97,1.93,1595796172
515,Llanes,ES,43.42,-4.75,22.22,91,4,1.34,1595796172
516,Angoram,PG,-4.06,144.07,23.41,98,98,1.29,1595796172
517,Ţahţā,EG,26.77,31.5,31.0,27,0,2.6,1595795768
518,Luba,GQ,3.46,8.55,24.0,100,40,2.77,1595796172
519,Guajará,BR,-2.97,-57.67,32.44,44,91,0.76,1595796172
520,Nouakchott,MR,18.09,-15.98,26.0,78,20,4.6,1595795769
521,La Peca,PE,-5.61,-78.44,23.97,71,63,1.72,1595796173
522,Upata,VE,8.01,-62.4,31.11,70,100,1.79,1595796173
523,Te Anau,NZ,-45.42,167.72,2.06,85,25,0.36,1595796173
524,Cabedelo,BR,-6.98,-34.83,26.0,74,20,5.1,1595796173
525,Repalle,IN,16.02,80.85,29.35,72,54,1.46,1595796173
526,Dawson Creek,CA,55.77,-120.24,24.0,50,1,8.2,1595796173
527,Mazamari,PE,-11.33,-74.53,27.07,57,51,0.38,1595796173
528,Yar-Sale,RU,66.83,70.83,8.19,81,19,3.86,1595795769
529,Bulnes,CL,-36.74,-72.3,12.78,100,90,3.1,1595796173
530,San Jose,US,37.34,-121.89,28.89,44,1,2.6,1595796082
531,Dalbandin,PK,28.89,64.41,28.1,54,67,4.1,1595796174
532,Zyryanskoye,RU,56.83,86.63,10.12,92,14,2.34,1595796174
533,Wollongong,AU,-34.43,150.88,16.67,98,100,3.58,1595796174
534,Sittwe,MM,20.15,92.9,28.04,84,100,2.55,1595796174
535,Iqaluit,CA,63.75,-68.51,12.0,76,40,2.6,1595795463
536,Qiyang,CN,26.59,111.85,25.49,91,92,0.22,1595796174
537,Arman',RU,59.7,150.17,14.57,76,92,0.87,1595796174
538,French Harbor,HN,16.35,-86.43,29.4,77,96,12.65,1595796174
539,Myitkyina,MM,25.38,97.4,24.11,96,100,0.8,1595796175
540,Yulara,AU,-25.24,130.99,4.0,69,0,0.5,1595796175
541,Pemangkat,ID,1.17,108.97,24.25,89,48,2.05,1595796175
542,Mackay,AU,-21.15,149.2,13.33,68,0,4.17,1595796175
543,Gerāsh,IR,27.67,54.14,29.0,54,40,9.3,1595796175
544,Lakefield,US,43.68,-95.17,27.22,74,40,2.6,1595796160
545,Necochea,AR,-38.55,-58.74,10.56,71,100,1.79,1595796175
546,Faya,SA,18.39,42.45,20.0,82,40,4.1,1595795798
547,Carutapera,BR,-1.2,-46.02,25.32,88,9,3.11,1595795771
548,Itumba,TZ,-9.4,33.18,12.75,91,32,2.43,1595796175
549,Amapá,BR,1.0,-52.0,25.71,92,64,0.73,1595796176
550,Bako,ET,5.78,36.57,16.41,87,100,0.63,1595796176
551,Hualmay,PE,-11.1,-77.61,18.51,69,9,4.25,1595796176
552,São Filipe,CV,14.9,-24.5,24.68,85,95,3.12,1595796176
553,Chumikan,RU,54.72,135.31,11.65,90,37,0.91,1595796176
554,Zambrów,PL,52.99,22.24,17.51,77,1,2.58,1595796176
555,Gisborne,NZ,-38.65,178.0,3.89,84,4,3.13,1595795774
556,Namatanai,PG,-3.67,152.43,26.92,79,100,1.74,1595796176
557,Churapcha,RU,62.0,132.43,16.3,67,29,2.2,1595796177
558,Wāngjing,IN,24.6,94.03,22.17,93,99,0.32,1595796177
559,Wanaraja,ID,-7.17,107.98,17.84,88,78,1.48,1595796177
560,Wuxue,CN,29.85,115.55,23.79,93,100,1.57,1595796177
561,Homer,US,59.64,-151.55,13.0,82,75,5.7,1595796177
562,Monrovia,LR,6.3,-10.8,24.74,78,82,5.32,1595796177
563,Siderno,IT,38.28,16.3,27.0,83,20,1.5,1595796177
564,Cooma,AU,-36.23,149.13,7.0,100,90,8.7,1595796177
565,Batagay,RU,67.63,134.63,17.89,49,51,5.77,1595796177
566,Araouane,ML,18.9,-3.53,36.91,29,66,2.42,1595796177
567,Bua Yai,TH,15.59,102.43,26.87,74,100,3.14,1595796178
568,Donskoye,RU,45.46,41.97,23.0,40,5,6.0,1595796178
569,Sorsk,RU,54.0,90.25,12.73,88,100,8.84,1595796178
570,Hammerfest,NO,70.66,23.68,19.0,59,15,9.8,1595796178
